Year,Area,Street,Street 2,Strange HTML
2011,,"Communal  Landing  At  George  Poole  House,  Coventry","Communal Landing At George Poole House, Coventry",
2011,,Compton  Rd,Compton Rd,
2011,,Concourse  Near  Mortimers,Concourse Near Mortimers,
2011,,Cook  St,Cook St,
2011,,Corporation  St,Corporation St,
2011,,"Corporation  St  ,Coventry.","Corporation St ,Coventry.",
2011,,Corporation  St,Corporation St,
2011,,Coundon  Rd,Coundon Rd,
2011,,Coventry,Coventry,
2011,,Coventry  Central  Cells,Coventry Central Cells,
2011,,Coventry  Central  Front  Office,Coventry Central Front Office,
2011,,Coventry  Central  Pol  Stn,Coventry Central Pol Stn,
2011,,Coventry  Central  Police  Station,Coventry Central Police Station,
2011,,Coventry  Central  Police  Station,Coventry Central Police Station,
2011,,Coventry  Central  Ps,Coventry Central Ps,
2011,,Coventry  Central  Ps,Coventry Central Ps,
2011,,Coventry  Railwat  Station.,Coventry Railwat Station.,
2011,,Coventry  Railway  Station.,Coventry Railway Station.,
2011,,Coventry  Train  Station,Coventry Train Station,
2011,,Cox  St,Cox St,
2011,,Cross  Rd,Cross Rd,
2011,,Devonshire  Arms,Devonshire Arms,
2011,,Duckham  Court,Duckham Court,
2011,,Earlsdon  High  St,Earlsdon High St,
2011,,"Elms  Pub,  Birmingham  Rd","Elms Pub, Birmingham Rd",
2011,,Fairfax  St,Fairfax St,
2011,,Far  Gosford  St,Far Gosford St,
2011,,Far  Gosford  St,Far Gosford St,
2011,,Farndale  Ave,Farndale Ave,
2011,,Farndale  Ave,Farndale Ave,
2011,,Foleshill  Rd,Foleshill Rd,
2011,,Foleshill  Rd,Foleshill Rd,
2011,,Foleshill  Rd,Foleshill Rd,
2011,,Foleshill  Rd,Foleshill Rd,
2011,,"Foleshill  Rd,  Coventry","Foleshill Rd, Coventry",
2011,,"Four  Pounds  Ave,  Coventry","Four Pounds Ave, Coventry",
2011,,Friars  Rd,Friars Rd,
2011,,Front  Of  Coventry  Central  Police  Station,Front Of Coventry Central Police Station,
2011,,Front  Office,Front Office,
2011,,Front  Office,Front Office,
2011,,"Gala  Bingo,  Pool  Meadow","Gala Bingo, Pool Meadow",
2011,,Gosford  St,Gosford St,
2011,,Gosford  St,Gosford St,
2011,,Gosford  St,Gosford St,
2011,,Greyfriars  St  Coventry,Greyfriars St Coventry,
2011,,Gulson  Rd  Coventry,Gulson Rd Coventry,
2011,,Gulson  Rd  Coventry,Gulson Rd Coventry,
2011,,Hale  St,Hale St,
2011,,"Hales  St,  Coventry","Hales St, Coventry",
2011,,Hartfrod  St,Hartfrod St,
2011,,Hayle  St,Hayle St,
2011,,Hayles  St,Hayles St,
2011,,Hedgefield  Way,Hedgefield Way,
2011,,Herald  Way  Coventry,Herald Way Coventry,
2011,,High  St  Coventry,High St Coventry,
2011,,High  St,High St,
2011,,High  St,High St,
2011,,Hill  St,Hill St,
2011,,Hipswell  Highway,Hipswell Highway,
2011,,Holmesdale  Rd,Holmesdale Rd,
2011,,Hurst  Rd,Hurst Rd,
2011,,Ibis  Hotel,Ibis Hotel,
2011,,Ikea  Car  Park,Ikea Car Park,
2011,,Ikea  Plaza,Ikea Plaza,
2011,,Iron  Monger  Row,Iron Monger Row,
2011,,Jardine  Crescent,Jardine Crescent,
2011,,Jardine  Crescent,Jardine Crescent,
2011,,Jasrdine  Crescent,Jasrdine Crescent,
2011,,Jd  Wetherspoon  Earlsdon,Jd Wetherspoon Earlsdon,
2011,,Jordan  Well,Jordan Well,
2011,,"Jordan  Well  ,  Coventry","Jordan Well , Coventry",
2011,,Jubilee  Cresent,Jubilee Cresent,
2011,,Kirby  Rd,Kirby Rd,
2011,,Lady  Ln,Lady Ln,
2011,,Lambeth  Close,Lambeth Close,
2011,,Leader  Close,Leader Close,
2011,,Lidice  Place,Lidice Place,
2011,,"Lincoln  St  ,Coventry","Lincoln St ,Coventry",
2011,,Littl  Park  St,Littl Park St,
2011,,"Little  Park  St  ,Coventry.","Little Park St ,Coventry.",
2011,,"Little  Park  St  ,Coventry.","Little Park St ,Coventry.",
2011,,Little  Park  St  Coventry,Little Park St Coventry,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,Little  Park  St,Little Park St,
2011,,London  Rd,London Rd,
2011,,London  Rd,London Rd,
2011,,Longford  Rd,Longford Rd,
2011,,Lower  Ford  St,Lower Ford St,
2011,,Lower  Ford  St,Lower Ford St,
2011,,Lower  Holyhead  D  Jtn  With  Spon  St,Lower Holyhead D Jtn With Spon St,
2011,,Lower  Holyhead  Rd  Coventry,Lower Holyhead Rd Coventry,
2011,,Lower  Holyhead  Rd  Coventry,Lower Holyhead Rd Coventry,
2011,,Lower  Precinct  Coventry,Lower Precinct Coventry,
2011,,Mafo,Mafo,
2011,,Manor  House  Drive,Manor House Drive,
2011,,Market  Way,Market Way,
2011,,Mary  Slessor  St,Mary Slessor St,
2011,,Masser  Rd,Masser Rd,
2011,,"Mcdonalds  Restaurant  A45  ,Coventry.","Mcdonalds Restaurant A45 ,Coventry.",
2011,,"Memorial  Park,  Coventry","Memorial Park, Coventry",
2011,,Middle  Ride,Middle Ride,
2011,,Mile  Ln,Mile Ln,
2011,,Mile  Ln,Mile Ln,
2011,,Millenium  Place,Millenium Place,
2011,,Millenium  Place,Millenium Place,
2011,,"Mint  Casino,  King  William  St","Mint Casino, King William St",
2011,,Miranda  Close,Miranda Close,
2011,,Morris  Rd,Morris Rd,
2011,,Motor  Museum,Motor Museum,
2011,,New  Union  St,New Union St,
2011,,Norman  Place  Rd,Norman Place Rd,
2011,,Northy  Rd,Northy Rd,
2011,,O/S  Ccfo,O/S Ccfo,
2011,,O/S  Coventry  Central  Police  Station,O/S Coventry Central Police Station,
2011,,O/S  Gosford  Arms,O/S Gosford Arms,
2011,,Oak  Gosford  St,Oak Gosford St,
2011,,Outside  Coventry  Central  Ps,Outside Coventry Central Ps,
2011,,Outside  Foleshill  Ps,Outside Foleshill Ps,
2011,,Outside  Front  Of  Coventry  Central  Police  Station.,Outside Front Of Coventry Central Police Station.,
2011,,Outside  Heat  Bar,Outside Heat Bar,
2011,,Outside  Kasbars,Outside Kasbars,
2011,,"Outside  Of  The  Jewson  Stand,  Richo  Arena,  Coventry","Outside Of The Jewson Stand, Richo Arena, Coventry",
2011,,Owenford  Rd,Owenford Rd,
2011,,"Palm  Tree  Ave,  Wood  End","Palm Tree Ave, Wood End",
2011,,"Palmer  Ln  ,  Coventry.","Palmer Ln , Coventry.",
2011,,"Palmer  Ln  ,  Coventry.","Palmer Ln , Coventry.",
2011,,"Palmer  Ln  ,  Coventry.","Palmer Ln , Coventry.",
2011,,"Penruddick  Drive,  Coventry","Penruddick Drive, Coventry",
2011,,Plymouth  Close,Plymouth Close,
2011,,Pool  Meadow,Pool Meadow,
2011,,Pool  Meadow  Bus  Station,Pool Meadow Bus Station,
2011,,Pool  Meadow  Bus  Stn,Pool Meadow Bus Stn,
2011,,Poolmeadow,Poolmeadow,
2011,,Poolmeadow  Bus  Station,Poolmeadow Bus Station,
2011,,Poolmeadow  Bus  Station,Poolmeadow Bus Station,
2011,,"Poppy  Court,  Remembrance  Rd,  Willenhall,  Coventry","Poppy Court, Remembrance Rd, Willenhall, Coventry",
2011,,Primrose  Hill  St,Primrose Hill St,
2011,,Primrose  Hill  St,Primrose Hill St,
2011,,Primrose  Hill  St,Primrose Hill St,
2011,,"Primrose  Hill  St  ,Coventry.","Primrose Hill St ,Coventry.",
2011,,Princethorpe  Way,Princethorpe Way,
2011,,"Priory  Fields,  Coventry","Priory Fields, Coventry",
2011,,Priory  Gardens,Priory Gardens,
2011,,Priory  St,Priory St,
2011,,Puma  Way,Puma Way,
2011,,"Queen  Mary's  Rd  ,Foleshill  ,Coventry.","Queen Mary's Rd ,Foleshill ,Coventry.",
2011,,Queen  Marys  Rd  Coventry,Queen Marys Rd Coventry,
2011,,Queen  Victoria  Rd,Queen Victoria Rd,
2011,,Radford  Rd,Radford Rd,
2011,,Radford  Rd,Radford Rd,
2011,,Raglan  St,Raglan St,
2011,,Red  Ln,Red Ln,
2011,,Remembrance  Rd,Remembrance Rd,
2011,,Richo  Areana,Richo Areana,
2011,,Richo  Areana,Richo Areana,
2011,,"Richo  Arena,  Coventry","Richo Arena, Coventry",
2011,,Ricoh  Arena,Ricoh Arena,
2011,,Ricoh  Arena,Ricoh Arena,
2011,,Ricoh  Arena,Ricoh Arena,
2011,,"Ridgethorpe,  Willenhall,  Coventry","Ridgethorpe, Willenhall, Coventry",
2011,,"Rileys  Square,  Bell  Green","Rileys Square, Bell Green",
2011,,Ring  Rd,Ring Rd,
2011,,Riverwalk  Walk  Wood  End,Riverwalk Walk Wood End,
2011,,"Roland  Ave  ,Holbrooks  ,Coventry.","Roland Ave ,Holbrooks ,Coventry.",
2011,,Rotherhanm  Rd,Rotherhanm Rd,
2011,,"Sainsburys  ,Trinity  St  ,Coventry.","Sainsburys ,Trinity St ,Coventry.",
2011,,Scots  Ln,Scots Ln,
2011,,Sewall  Highway,Sewall Highway,
2011,,Sewall  Highway,Sewall Highway,
2011,,Sewall  Highway  Coventry,Sewall Highway Coventry,
2011,,"Silver  St  ,Coventry.","Silver St ,Coventry.",
2011,,Sky  Blue  Way,Sky Blue Way,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome,Sky Dome,
2011,,Sky  Dome  Concourse,Sky Dome Concourse,
2011,,Sky  Dome  Concourse,Sky Dome Concourse,
2011,,Sky  Dome  Concourse,Sky Dome Concourse,
2011,,Sky  Dome  Concourse,Sky Dome Concourse,
2011,,Sky  Dome  Concourse,Sky Dome Concourse,
2011,,Sky  Dome  Concourse  Covenmtry,Sky Dome Concourse Covenmtry,
2011,,Sky  Dome  Concourse  Coventry,Sky Dome Concourse Coventry,
2011,,Sky  Dome  Concourse.,Sky Dome Concourse.,
2011,,"Sky  Dome,  Coventry","Sky Dome, Coventry",
2011,,"Sky  Dome,  Coventry  City  Ctr","Sky Dome, Coventry City Ctr",
2011,,Sky  Dome.,Sky Dome.,
2011,,Sky  Dome.,Sky Dome.,
2011,,Sky  Dome.,Sky Dome.,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,"Skydome  ,  Coventry.","Skydome , Coventry.",
2011,,Skydome  Car  Park,Skydome Car Park,
2011,,Skydome  Car  Park,Skydome Car Park,
2011,,Skydome  Complex,Skydome Complex,
2011,,Skydome  Complex,Skydome Complex,
2011,,Skydome  Complex,Skydome Complex,
2011,,"Skydome  Complex,  Coventry","Skydome Complex, Coventry",
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,Skydome  Concourse,Skydome Concourse,
2011,,"Skydome  Concourse  ,Coventry","Skydome Concourse ,Coventry",
2011,,Skydome  Concourse...,Skydome Concourse...,
2011,,Skydome  Coventry,Skydome Coventry,
2011,,Skydome  Coventry,Skydome Coventry,
2011,,Skydome  Coventry  City  Ctr,Skydome Coventry City Ctr,
2011,,"Skydome,  Coventry","Skydome, Coventry",
2011,,"Skydome,  Coventry","Skydome, Coventry",
2011,,Sorell  Close,Sorell Close,
2011,,"Southbank  Rd  ,Coventry.","Southbank Rd ,Coventry.",
2011,,Spom  St  Coventry,Spom St Coventry,
2011,,Spon  End,Spon End,
2011,,"Spon  End,  Coventry","Spon End, Coventry",
2011,,"Spon  St  ,Coventry","Spon St ,Coventry",
2011,,"Spon  St  ,Coventry.","Spon St ,Coventry.",
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St  Coventry,Spon St Coventry,
2011,,Spon  St,Spon St,
2011,,Spon  St,Spon St,
2011,,Spon  St,Spon St,
2011,,Spon  St,Spon St,
2011,,Spon  St,Spon St,
2011,,Spon  St,Spon St,
2011,,St  Georges  Rd,St Georges Rd,
2011,,"St  Georges  Rd,  Stoke","St Georges Rd, Stoke",
2011,,St  Lukes  Rd  Coventry,St Lukes Rd Coventry,
2011,,Stonet  Stanton  Rd  Police  Station,Stonet Stanton Rd Police Station,
2011,,"Stoney  Stanton  Rd  Police  Station,  Coventry","Stoney Stanton Rd Police Station, Coventry",
2011,,Swanswell  Park,Swanswell Park,
2011,,Tachbrook  Close,Tachbrook Close,
2011,,"Tarquin  Close,  Coventry","Tarquin Close, Coventry",
2011,,Terry  Rd,Terry Rd,
2011,,"Terry  Rd,  Coventry","Terry Rd, Coventry",
2011,,The  Bull  Yard  City  Ctr,The Bull Yard City Ctr,
2011,,The  Bullyard,The Bullyard,
2011,,The  Burges,The Burges,
2011,,The  Burgess,The Burgess,
2011,,The  Burgess,The Burgess,
2011,,The  Burgess,The Burgess,
2011,,The  Butts  Coventry,The Butts Coventry,
2011,,The  Butts  Retreat  Ph,The Butts Retreat Ph,
2011,,The  Croft  Longford,The Croft Longford,
2011,,"The  Forum  Medical  Ctr,  Coventry","The Forum Medical Ctr, Coventry",
2011,,Thimbler  Rd,Thimbler Rd,
2011,,Tile  Hill  Ln  Coventry,Tile Hill Ln Coventry,
2011,,Torrington  Ave,Torrington Ave,
2011,,Trinity  Point  Link,Trinity Point Link,
2011,,Trinity  St,Trinity St,
2011,,Trinity  St,Trinity St,
2011,,Trinity  St,Trinity St,
2011,,Trinity  St  City  Ctr  Coventry,Trinity St City Ctr Coventry,
2011,,University  Hospital,University Hospital,
2011,,University  Hospital,University Hospital,
2011,,University  Hospital  Coventry,University Hospital Coventry,
2011,,"Unniversity  Of  Warwick,  Coventry","Unniversity Of Warwick, Coventry",
2011,,Upper  Spon  St,Upper Spon St,
2011,,Vine  St,Vine St,
2011,,Vine  St,Vine St,
2011,,Vinecote  Rd,Vinecote Rd,
2011,,Wallace  Rd,Wallace Rd,
2011,,Walsgrave  Hospital,Walsgrave Hospital,
2011,,Warwick  Row,Warwick Row,
2011,,Warwick  University,Warwick University,
2011,,West  Orchard,West Orchard,
2011,,West  Orchards  Circulatory  Rd,West Orchards Circulatory Rd,
2011,,White  St,White St,
2011,,Willenhall  Ln  Coventry,Willenhall Ln Coventry,
2011,,Willenhall  Police  Station  Front  Office,Willenhall Police Station Front Office,
2011,,Willenhall  Ps,Willenhall Ps,
2011,,Winnalthorpe,Winnalthorpe,
2011,,Wood  Way  Ln  Coventry,Wood Way Ln Coventry,
2011,,Wroxall  Drive,Wroxall Drive,
2011,,Wroxhall  Drive,Wroxhall Drive,
2011,,Albion  St  Brierley  Hill,Albion St Brierley Hill,
2011,,Amblecote  High  St  Stourbridge,Amblecote High St Stourbridge,
2011,,Arley  Court,Arley Court,
2011,,Baptist  End  Rd  Netherton.,Baptist End Rd Netherton.,
2011,,"Bell  St,  Stourbridge","Bell St, Stourbridge",
2011,,Bell  St,Bell St,
2011,,"Bell  St,Stourbridge","Bell St,Stourbridge",
2011,,Bhps,Bhps,
2011,,"Birmingham  St,  Stourbridge","Birmingham St, Stourbridge",
2011,,Bramford  Arms,Bramford Arms,
2011,,Brettle  Ln,Brettle Ln,
2011,,Brickhouse  Rd,Brickhouse Rd,
2011,,"Brisbane  Rd,  Smethwick","Brisbane Rd, Smethwick",
2011,,Broadway  Stourbridge,Broadway Stourbridge,
2011,,"Broadway,  Stourbridge","Broadway, Stourbridge",
2011,,"Broadway,  Stourbridge","Broadway, Stourbridge",
2011,,"Burmese  Way,  Rowley  Regis","Burmese Way, Rowley Regis",
2011,,"Bus  Station,  Dudley","Bus Station, Dudley",
2011,,Carpark  Of  Maybrook  Hosue  In  Halesowen,Carpark Of Maybrook Hosue In Halesowen,
2011,,Carpark  Of  The  Barley  Mow    High  St  Wollaston,Carpark Of The Barley Mow  High St Wollaston,
2011,,Castlegate  Dudley,Castlegate Dudley,
2011,,Cinder  Bank  Island  Netherton,Cinder Bank Island Netherton,
2011,,Court  St,Court St,
2011,,"Courthouse  Ph,  Sedgeley","Courthouse Ph, Sedgeley",
2011,,Crabmill  Carpark  Oldswinford,Crabmill Carpark Oldswinford,
2011,,Crompton  Rd,Crompton Rd,
2011,,"Crown  Ctr,  Stourbridge","Crown Ctr, Stourbridge",
2011,,Dudley  Bus  Station,Dudley Bus Station,
2011,,Dudley  Police  Station,Dudley Police Station,
2011,,Dudley  Rd,Dudley Rd,
2011,,"Dudley  Rd,  Brierley  Hill","Dudley Rd, Brierley Hill",
2011,,"Edward  Rutland  Ph,  High  St,  Stourbridge","Edward Rutland Ph, High St, Stourbridge",
2011,,Enville  Rd,Enville Rd,
2011,,Fern  Rd,Fern Rd,
2011,,"Foster  St,Stourbridge","Foster St,Stourbridge",
2011,,Front  Office  Bhps,Front Office Bhps,
2011,,"Front  Office,  Stourbridge","Front Office, Stourbridge",
2011,,"Front  Office,  Stourbridge  Police  Station.","Front Office, Stourbridge Police Station.",
2011,,Hagley  Rd,Hagley Rd,
2011,,"Halesowen  Rd,  Netherton","Halesowen Rd, Netherton",
2011,,Halesowen  Town  Ctr,Halesowen Town Ctr,
2011,,"Hampden  Close,Quarry  Bank","Hampden Close,Quarry Bank",
2011,,"Hereford  Rd,  Netherton","Hereford Rd, Netherton",
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,"High  St,  Dudley","High St, Dudley",
2011,,"High  St,  Sedgely","High St, Sedgely",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,High  St,High St,
2011,,High  St,High St,
2011,,High  St,High St,
2011,,"High  St  ,  Brierley  Hill","High St , Brierley Hill",
2011,,High  St  Blackheath,High St Blackheath,
2011,,High  St  Quarry  Bank,High St Quarry Bank,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge,High St Stourbridge,
2011,,High  St  Stourbridge.,High St Stourbridge.,
2011,,High  St  West  Bromwich,High St West Bromwich,
2011,,"High  St,  Amblecote","High St, Amblecote",
2011,,"High  St,  Smethwick","High St, Smethwick",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,  Stourbridge","High St, Stourbridge",
2011,,"High  St,Halesowen","High St,Halesowen",
2011,,"High  View  St,  Dudley","High View St, Dudley",
2011,,"Hilly  Ln,  Halesowen","Hilly Ln, Halesowen",
2011,,"Himley  Rd,Gornal","Himley Rd,Gornal",
2011,,Home  Address,Home Address,
2011,,Hope  Tavern  Netherton,Hope Tavern Netherton,
2011,,"Hurst  Rd,  Oldbury","Hurst Rd, Oldbury",
2011,,"Jackson  St,  Lye","Jackson St, Lye",
2011,,"Kfc,  Merry  Hill  Ctr.  Dudley","Kfc, Merry Hill Ctr. Dudley",
2011,,King  St  Dudley,King St Dudley,
2011,,"Kingsley  Rd,Netherton","Kingsley Rd,Netherton",
2011,,Larel  Ln  Halesowen,Larel Ln Halesowen,
2011,,"Little  Barrel  Ph,  Dudley","Little Barrel Ph, Dudley",
2011,,Lloyds  Bar  Stourbridge,Lloyds Bar Stourbridge,
2011,,"Long  Ln,  Halesowen","Long Ln, Halesowen",
2011,,"Lower  Derry    St,  Brierley  Hill","Lower Derry  St, Brierley Hill",
2011,,"Lower  High  St,  Stourbridge","Lower High St, Stourbridge",
2011,,Lupin  Rd,Lupin Rd,
2011,,Lye  High  St,Lye High St,
2011,,Market  St  Kingswinford,Market St Kingswinford,
2011,,"Market  St,  Knigswinford.","Market St, Knigswinford.",
2011,,"Market  St,  Stourbridge","Market St, Stourbridge",
2011,,"Market  St,  Stourbridge","Market St, Stourbridge",
2011,,"Market  St,Kingswinford","Market St,Kingswinford",
2011,,Marriot  Rd,Marriot Rd,
2011,,Marriot  Rd,Marriot Rd,
2011,,Mary  Stevens  Park,Mary Stevens Park,
2011,,Maybrook  House  Car  Park  Halesowen,Maybrook House Car Park Halesowen,
2011,,"Meadowfields  Close,  Wordsley","Meadowfields Close, Wordsley",
2011,,"Merryhill  Ctr,  Brierley  Hill","Merryhill Ctr, Brierley Hill",
2011,,"Mill  St,Sedgley","Mill St,Sedgley",
2011,,"Mill  St,Sedgley","Mill St,Sedgley",
2011,,Moore  St,Moore St,
2011,,"New  Rd,  Dudley","New Rd, Dudley",
2011,,New  Rd  Stourbridge,New Rd Stourbridge,
2011,,New  St  Dudley,New St Dudley,
2011,,"Odeon  Cinema  ,  Merry  Hill","Odeon Cinema , Merry Hill",
2011,,"Odeon  Cinema  ,  Merry  Hill","Odeon Cinema , Merry Hill",
2011,,Outside  Santander  High  St  Stourbridge,Outside Santander High St Stourbridge,
2011,,Park  Rd  Wrens  Nest,Park Rd Wrens Nest,
2011,,Playground  At  Priory  Primary  School,Playground At Priory Primary School,
2011,,"Princess  Rd,  Old  Hill","Princess Rd, Old Hill",
2011,,"Priory  St,Dudley","Priory St,Dudley",
2011,,Rhh,Rhh,
2011,,"Ring  Rd  ,    Stourbridge.","Ring Rd ,  Stourbridge.",
2011,,"Ring  Rd,  Stourbridge","Ring Rd, Stourbridge",
2011,,"Rookery  Park,  Pensnett","Rookery Park, Pensnett",
2011,,Salop  St,Salop St,
2011,,Salop  St,Salop St,
2011,,Sedgley  Bullring,Sedgley Bullring,
2011,,Sedgley  Conservative  Club,Sedgley Conservative Club,
2011,,Sedgley  Conservative  Club,Sedgley Conservative Club,
2011,,Short  St,Short St,
2011,,"South  Rd,Stourbridge","South Rd,Stourbridge",
2011,,Stourbridge,Stourbridge,
2011,,Stourbridge  High  St,Stourbridge High St,
2011,,Stourbridge  High  St,Stourbridge High St,
2011,,Stourbridge  High  St,Stourbridge High St,
2011,,Stourbridge  High  St,Stourbridge High St,
2011,,Stourbridge  Junction  .,Stourbridge Junction .,
2011,,Stourbridge  Ps  Front  Office,Stourbridge Ps Front Office,
2011,,Stourbridge  Rd  Holly  Hall,Stourbridge Rd Holly Hall,
2011,,"Stourbridge  Rd,  Lye","Stourbridge Rd, Lye",
2011,,"Stourbridge  Rd,  Brierley  Hill","Stourbridge Rd, Brierley Hill",
2011,,"Stourbridge  Rd,  Brierley  Hill","Stourbridge Rd, Brierley Hill",
2011,,Stourbridge  Rd.,Stourbridge Rd.,
2011,,Tesco  Express  Amblecote  Stourbridge,Tesco Express Amblecote Stourbridge,
2011,,"The  Swan  Public  House,  Kingswinford","The Swan Public House, Kingswinford",
2011,,"Tower  St,  Dudley","Tower St, Dudley",
2011,,"Victoria  St,  Stoubridge","Victoria St, Stoubridge",
2011,,"Ward  B3,  Rhh","Ward B3, Rhh",
2011,,"Windmill  End,  Dudley","Windmill End, Dudley",
2011,,Windmill  Ln    Cape  Hill,Windmill Ln  Cape Hill,
2011,,Wolverhampton  St  Dudley,Wolverhampton St Dudley,
2011,,"Wolverhampton  St,  Dudley","Wolverhampton St, Dudley",
2011,,"Wolverhampton  St,  Dudley","Wolverhampton St, Dudley",
2011,,Worcester  St  Stourbridge,Worcester St Stourbridge,
2011,,"W'ton  St,  Dudley","W'ton St, Dudley",
2011,,"W'ton  St,  Dudley","W'ton St, Dudley",
2011,Solihull,A+E  Soliohull  Hospital,A+E Soliohull Hospital,
2011,,Airport,Airport,
2011,,"Ash  Crescent,  Chelmsley  Wood","Ash Crescent, Chelmsley Wood",
2011,,Assembly  Rooms,Assembly Rooms,
2011,,Auckland  Drive,Auckland Drive,
2011,,Auckland  Drive,Auckland Drive,
2011,,Auckland  Drive,Auckland Drive,
2011,,Auckland  Drive,Auckland Drive,
2011,,"Auckland  Drive,  C  Wood","Auckland Drive, C Wood",
2011,,"Auckland  Drive,  Chelmsley  Wood  Solihull","Auckland Drive, Chelmsley Wood Solihull",
2011,,Bham  Airport,Bham Airport,
2011,,Bham  Int  Train  Station,Bham Int Train Station,
2011,,Bham  International  Train  Station,Bham International Train Station,
2011,,Birmingham  Airport,Birmingham Airport,
2011,,"Blair  Grove  ,Chelmsley  Wood  ,Birmingham.","Blair Grove ,Chelmsley Wood ,Birmingham.",
2011,,"Brackleys  Way,  Solihull","Brackleys Way, Solihull",
2011,,Brickhill  Dr,Brickhill Dr,
2011,,"Broad  St,    Os  Gatecrasher","Broad St,  Os Gatecrasher",
2011,,"By  St  Alphedge  Church,  Solihull","By St Alphedge Church, Solihull",
2011,,Carpark  Marston  Green  Tavern,Carpark Marston Green Tavern,
2011,,"Chelmsley  Rd,  Chelmsley  Wood","Chelmsley Rd, Chelmsley Wood",
2011,,"Chelmsley  Rd,  Chelmsley  Wood","Chelmsley Rd, Chelmsley Wood",
2011,,Church  Close,Church Close,
2011,,"Clock  Public  House,  Clock  Ln","Clock Public House, Clock Ln",
2011,,Colebrook  Rd,Colebrook Rd,
2011,,Colebrook  Rd,Colebrook Rd,
2011,,"Copt  Heath  Drive,  Knowle","Copt Heath Drive, Knowle",
2011,,Danford  Ln,Danford Ln,
2011,,"Dunton  Hall  Rd,  Shirley","Dunton Hall Rd, Shirley",
2011,,"Foleshill  Rd,  Coventry","Foleshill Rd, Coventry",
2011,,Forth  Drive,Forth Drive,
2011,,Fox  Hollies  Rd,Fox Hollies Rd,
2011,,Foyer  Of  Etap  Hotel  Bhx,Foyer Of Etap Hotel Bhx,
2011,,"Grandys  Drive,  Chelmsley  Wood","Grandys Drive, Chelmsley Wood",
2011,,Green  Ln,Green Ln,
2011,,Greenwood  Shopping  Ctr,Greenwood Shopping Ctr,
2011,,Greswold  Hotel,Greswold Hotel,
2011,,Halifax  Rd.,Halifax Rd.,
2011,,Helmswood  Drive,Helmswood Drive,
2011,,Helmswood  Drive,Helmswood Drive,
2011,,Helmswood  Drive,Helmswood Drive,
2011,,High  St,High St,
2011,,High  St,High St,
2011,,"High  St  ,Solihull.","High St ,Solihull.",
2011,,High  St  Solihull,High St Solihull,
2011,,High  St  Solihull,High St Solihull,
2011,,"High  St,  Town  Ctr  Solihull","High St, Town Ctr Solihull",
2011,,High  St,High St,
2011,,High  St,High St,
